Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,HomePlanet,CryoSleep,Destination,VIP,Cabin_Deck,Cabin_Number,Cabin_Side,Passenger_Group,Passenger_Number,Transported
2.0,0.0,0.0,0.0,0.0,0.0,Mars,False,TRAPPIST-1e,False,F,9,P,0031,02,True
20.0,646.3333333333334,0.0,1750.0,990.0,0.0,Mars,False,TRAPPIST-1e,False,F,9,P,0031,03,True
28.0,0.0,0.0,0.0,0.0,0.0,Europa,True,55 Cancri e,False,D,1,S,0034,01,True
23.0,784.0,964.0,0.0,951.0,0.0,Mars,False,55 Cancri e,False,D,1,P,0035,01,False
15.0,0.0,492.0,48.0,20.0,401.0,Earth,False,55 Cancri e,False,F,8,S,0036,01,False
20.0,554.0,195.0,0.0,2606.0,0.0,Earth,False,55 Cancri e,False,F,10,S,0038,01,False
30.0,0.0,0.0,0.0,0.0,0.0,Earth,True,55 Cancri e,False,G,1,P,0039,01,False
17.0,0.0,0.0,0.0,0.0,0.0,Earth,True,TRAPPIST-1e,False,G,2,P,0041,01,True
45.0,0.0,164.0,45.0,2511.0,855.0,Europa,False,TRAPPIST-1e,False,B,3,P,0043,01,False
55.0,0.0,0.0,0.0,0.0,0.0,Earth,True,TRAPPIST-1e,False,G,3,P,0044,01,False
4.0,0.0,0.0,0.0,0.0,0.0,Earth,True,55 Cancri e,False,G,3,P,0044,02,True
21.0,0.0,0.0,0.0,0.0,0.0,Earth,True,PSO J318.5-22,False,G,3,P,0044,03,True
21.0,970.0,0.0,180.0,0.0,64.0,Mars,False,TRAPPIST-1e,False,F,10,P,0045,01,False
19.0,0.0,0.0,0.0,0.0,0.0,Mars,True,TRAPPIST-1e,False,F,10,P,0045,02,True
35.0,790.0,0.0,0.0,0.0,0.0,Earth,False,55 Cancri e,False,E,1,S,0050,01,False
56.0,0.0,112.0,0.0,1379.0,127.0,Earth,False,TRAPPIST-1e,False,E,2,S,0051,01,False
22.0,4.0,0.0,2.0,3926.0,0.0,Earth,False,TRAPPIST-1e,False,G,6,S,0052,01,False
25.0,0.0,0.0,1938.0,0.0,1.0,Earth,False,TRAPPIST-1e,False,F,11,S,0053,01,True
2.0,0.0,0.0,0.0,0.0,0.0,Europa,False,TRAPPIST-1e,False,A,1,S,0056,01,True
38.0,0.0,0.0,0.0,0.0,0.0,Europa,True,TRAPPIST-1e,False,A,1,S,0056,02,True
27.0,279.0,605.0,2184.0,286.0,3.0,Europa,False,TRAPPIST-1e,False,A,1,S,0056,03,True
36.0,0.0,0.0,0.0,0.0,0.0,Earth,True,PSO J318.5-22,False,G,7,S,0058,01,False
22.0,45.0,1096.0,148.0,1377.0,1.0,Earth,False,TRAPPIST-1e,False,F,12,S,0061,01,False
62.0,0.0,592.0,0.0,17.0,25.0,Earth,False,TRAPPIST-1e,False,F,13,S,0062,01,False
15.0,0.0,0.0,0.0,0.0,0.0,Mars,True,TRAPPIST-1e,False,F,14,S,0064,01,True
33.0,0.0,0.0,0.0,0.0,0.0,Earth,True,TRAPPIST-1e,False,E,3,S,0064,02,True
62.0,1.0,153.0,197.0,0.0,460.0,Earth,False,TRAPPIST-1e,False,G,6,P,0066,01,False
0.0,0.0,0.0,0.0,0.0,0.0,Earth,True,PSO J318.5-22,False,G,10,S,0067,01,True
18.0,1.0,258.0,446.0,0.0,0.0,Earth,False,TRAPPIST-1e,False,G,10,S,0067,02,True
21.0,1946.0,37.0,0.0,0.0,24.0,Earth,False,55 Cancri e,False,F,15,S,0067,03,False
26.666666666666668,793.0,0.0,2.0,253.0,0.0,Mars,False,TRAPPIST-1e,False,E,4,S,0068,01,False
42.0,887.0,0.0,9.0,6.0,0.0,Earth,False,TRAPPIST-1e,False,F,16,S,0069,01,True
19.0,190.0,0.0,5.0,1.0,726.0,Earth,False,TRAPPIST-1e,False,F,13,P,0070,01,False
17.0,16.0,2165.0,0.0,0.0,52.0,Earth,False,TRAPPIST-1e,False,F,14,P,0071,01,False
14.0,0.0,1.0,0.0,0.0,1063.0,Earth,False,TRAPPIST-1e,False,F,17,S,0072,01,False
37.0,46.0,83.0,738.0,0.0,12.0,Mars,False,PSO J318.5-22,False,D,3,P,0073,01,False
42.0,1.0,5840.0,0.0,0.0,506.0,Europa,False,TRAPPIST-1e,False,C,3,S,0074,01,True
27.0,147.0,0.0,1018.0,0.0,0.0,Mars,False,TRAPPIST-1e,False,F,18,S,0076,01,True
28.0,14.0,0.0,1295.0,0.0,0.0,Mars,False,TRAPPIST-1e,False,F,15,P,0077,01,True
38.0,0.0,5840.0,0.0,321.0,3854.0,Europa,False,TRAPPIST-1e,False,C,4,S,0078,01,False
13.0,0.0,0.0,0.0,0.0,0.0,Earth,True,TRAPPIST-1e,False,G,13,S,0081,01,False
42.0,2803.0,0.0,0.0,0.0,0.0,Mars,False,TRAPPIST-1e,False,F,16,P,0082,01,False
2.0,0.0,0.0,0.0,0.0,0.0,Mars,True,TRAPPIST-1e,False,F,16,P,0082,02,True
8.0,0.0,0.0,0.0,0.0,0.0,Mars,False,TRAPPIST-1e,False,F,16,P,0082,03,True
24.0,688.0,0.0,0.0,0.0,17.0,Earth,False,TRAPPIST-1e,False,G,14,S,0084,01,True
40.0,0.0,0.0,0.0,0.0,0.0,Europa,True,TRAPPIST-1e,False,C,5,S,0085,01,True
43.0,211.0,0.0,0.0,638.0,513.0,Earth,False,TRAPPIST-1e,False,F,17,P,0086,01,False
45.0,0.0,0.0,0.0,0.0,0.0,Mars,True,PSO J318.5-22,False,E,5,S,0088,01,True
35.0,0.0,0.0,0.0,0.0,0.0,Earth,True,TRAPPIST-1e,False,G,15,S,0090,01,True
26.0,0.0,0.0,0.0,0.0,0.0,Earth,True,TRAPPIST-1e,False,G,16,S,0091,01,True
27.0,1.0,697.0,31.0,188.0,0.0,Earth,False,TRAPPIST-1e,False,F,20,S,0091,02,False
19.0,0.0,0.0,670.0,1.0,34.0,Earth,False,TRAPPIST-1e,False,G,9,P,0092,01,False
0.0,0.0,0.0,0.0,0.0,0.0,Earth,True,TRAPPIST-1e,False,G,9,P,0092,02,True
3.0,0.0,0.0,0.0,0.0,0.0,Earth,True,TRAPPIST-1e,False,G,9,P,0092,03,True
54.0,0.0,1208.0,0.0,3.0,637.0,Europa,False,TRAPPIST-1e,False,A,2,S,0097,01,False
26.0,0.0,856.0,5.0,32.0,0.0,Earth,False,TRAPPIST-1e,False,G,11,P,0098,01,False
26.0,0.0,2811.0,957.0,0.0,87.0,Earth,False,TRAPPIST-1e,False,G,11,P,0098,02,True
23.0,311.0,427.0,526.0,37.0,0.0,Earth,False,PSO J318.5-22,False,F,19,P,0099,01,False
2.0,0.0,0.0,0.0,0.0,0.0,Earth,False,TRAPPIST-1e,False,G,12,P,0099,02,True
31.0,0.0,0.0,0.0,0.0,0.0,Mars,True,TRAPPIST-1e,False,00,00,00,0101,01,True
18.0,0.0,0.0,0.0,830.0,91.0,Earth,False,TRAPPIST-1e,False,F,23,S,0102,01,False
24.0,0.0,0.0,0.0,0.0,17.0,Earth,False,TRAPPIST-1e,False,F,24,S,0103,01,True
9.0,0.0,0.0,0.0,0.0,0.0,Earth,True,55 Cancri e,False,G,18,S,0103,02,True
6.0,0.0,0.0,0.0,0.0,0.0,Earth,True,TRAPPIST-1e,False,G,18,S,0103,03,False
27.0,0.0,0.0,570.0,2.0,131.0,Earth,False,TRAPPIST-1e,False,F,21,P,0105,01,False
21.0,1743.0,5.0,17.0,0.0,0.0,Mars,False,TRAPPIST-1e,False,D,2,S,0107,01,False
23.0,0.0,0.0,0.0,0.0,0.0,Earth,True,TRAPPIST-1e,False,G,19,S,0108,01,False
31.0,562.0,0.0,326.0,0.0,0.0,Earth,False,TRAPPIST-1e,False,G,19,S,0108,02,False
0.0,0.0,0.0,0.0,0.0,0.0,Earth,False,TRAPPIST-1e,False,G,19,S,0108,03,True
32.0,0.0,410.0,6.0,3926.0,764.0,Europa,False,TRAPPIST-1e,False,00,00,00,0110,01,False
40.0,0.0,331.0,0.0,0.0,1687.0,Europa,False,TRAPPIST-1e,False,B,5,P,0110,02,False
42.0,2209.0,5840.0,0.0,1868.0,445.0,Europa,False,TRAPPIST-1e,False,B,5,P,0110,03,True
28.0,0.0,0.0,0.0,0.0,0.0,Europa,True,TRAPPIST-1e,False,B,5,P,0110,04,True
29.0,0.0,0.0,0.0,0.0,0.0,Europa,True,TRAPPIST-1e,False,E,6,S,0111,01,True
48.0,0.0,2537.0,87.0,17.0,13.0,Europa,False,55 Cancri e,True,B,1,S,0112,01,True
64.0,0.0,0.0,804.0,0.0,0.0,Earth,False,TRAPPIST-1e,False,F,23,P,0113,01,True
27.0,82.0,157.0,429.0,238.0,1.0,Earth,False,TRAPPIST-1e,False,G,20,S,0114,01,False
26.0,0.0,0.0,0.0,0.0,0.0,Mars,False,TRAPPIST-1e,False,F,24,P,0115,01,True
33.0,1.0,2223.0,0.0,12.0,404.0,Europa,False,TRAPPIST-1e,False,D,4,P,0116,01,True
39.0,0.0,2344.0,0.0,65.0,3854.0,Earth,False,TRAPPIST-1e,False,A,0,P,0119,01,False
13.0,0.0,0.0,0.0,0.0,0.0,Europa,True,TRAPPIST-1e,False,A,0,P,0119,02,True
24.0,0.0,0.0,0.0,0.0,5.666666666666667,Mars,True,TRAPPIST-1e,False,F,25,P,0120,01,True
29.0,0.0,0.0,0.0,699.0,74.0,Earth,False,TRAPPIST-1e,False,G,21,S,0122,01,False
18.0,55.0,597.0,49.0,0.0,1.0,Earth,False,TRAPPIST-1e,False,F,27,P,0123,01,False
67.0,0.0,0.0,0.0,0.0,0.0,Mars,True,TRAPPIST-1e,False,F,27,S,0126,01,True
35.0,701.0,0.0,296.0,0.0,25.0,Mars,False,TRAPPIST-1e,False,E,7,S,0127,01,False
61.0,2353.0,334.0,9.0,316.0,2.0,Mars,False,TRAPPIST-1e,True,D,3,S,0128,01,False
45.0,2103.0,6.0,0.0,0.0,0.0,Mars,False,TRAPPIST-1e,False,E,8,S,0128,02,False
22.0,0.0,0.0,0.0,0.0,0.0,Earth,True,PSO J318.5-22,False,G,22,S,0129,01,True
19.0,0.0,0.0,0.0,0.0,0.0,Mars,True,TRAPPIST-1e,False,F,29,S,0133,01,True
36.0,2738.0,0.0,0.0,0.0,0.0,Mars,False,TRAPPIST-1e,False,D,5,S,0133,02,False
19.0,0.0,14.0,730.0,0.0,0.0,Earth,False,TRAPPIST-1e,False,G,17,P,0134,01,True
47.0,97.0,418.0,126.0,25.0,55.0,Earth,False,PSO J318.5-22,False,G,23,S,0136,01,False
13.0,0.0,0.0,0.0,0.0,0.0,Earth,True,TRAPPIST-1e,False,G,18,P,0138,01,True
34.0,0.0,22.0,0.0,564.0,207.0,Earth,False,TRAPPIST-1e,False,E,5,P,0138,02,False
35.0,0.0,0.0,0.0,0.0,0.0,Europa,True,55 Cancri e,False,C,6,S,0139,01,True
24.0,0.0,0.0,0.0,0.0,0.0,Earth,True,TRAPPIST-1e,False,G,19,P,0140,01,True
26.0,440.0,0.0,0.0,0.0,462.0,Earth,False,TRAPPIST-1e,False,F,29,P,0140,02,False
31.0,334.0,0.0,97.0,0.0,0.0,Mars,False,TRAPPIST-1e,False,F,30,P,0141,01,False
20.0,0.0,420.0,210.0,0.0,0.0,Earth,False,TRAPPIST-1e,False,F,31,S,0144,01,True
56.0,0.0,0.0,0.0,0.0,0.0,Earth,False,TRAPPIST-1e,False,G,25,S,0146,01,False
50.0,0.0,0.0,0.0,0.0,0.0,Earth,True,TRAPPIST-1e,False,G,26,S,0147,01,True
42.0,1072.0,0.0,10.0,0.0,76.0,Mars,False,TRAPPIST-1e,False,F,31,P,0148,01,False
27.0,0.0,0.0,0.0,0.0,0.0,Earth,True,55 Cancri e,False,G,27,S,0149,01,True
38.0,0.0,0.0,0.0,0.0,0.0,Earth,True,55 Cancri e,False,G,20,P,0151,01,False
41.0,0.0,0.0,0.0,0.0,607.0,Earth,False,TRAPPIST-1e,False,F,32,P,0152,01,False
22.0,2803.0,0.0,0.0,0.0,61.0,Earth,False,TRAPPIST-1e,False,G,22,P,0160,01,False
26.0,0.0,0.0,0.0,0.0,0.0,Europa,True,TRAPPIST-1e,False,B,8,P,0163,01,True
17.0,0.0,0.0,0.0,0.0,0.0,Europa,True,TRAPPIST-1e,False,B,8,P,0163,02,True
57.0,50.0,1688.0,0.0,1683.6666666666667,135.0,Earth,False,TRAPPIST-1e,False,G,28,S,0164,01,True
17.0,0.0,0.0,0.0,0.0,0.0,Earth,True,PSO J318.5-22,False,G,28,S,0164,02,False
35.0,0.0,0.0,0.0,0.0,0.0,Mars,True,TRAPPIST-1e,False,F,37,P,0165,01,True
13.0,0.0,0.0,0.0,0.0,0.0,Mars,True,TRAPPIST-1e,False,F,35,S,0167,01,True
27.0,1365.0,0.0,48.0,22.0,137.0,Mars,False,TRAPPIST-1e,False,F,35,S,0167,02,False
31.0,0.0,0.0,0.0,0.0,0.0,Earth,True,TRAPPIST-1e,False,G,23,P,0169,01,False
24.0,0.0,0.0,0.0,221.0,567.0,Earth,False,TRAPPIST-1e,False,E,10,S,0170,01,False
19.0,0.0,0.0,0.0,0.0,0.0,Earth,True,PSO J318.5-22,False,G,30,S,0171,01,True
32.0,0.0,0.0,0.0,0.0,0.0,Earth,True,TRAPPIST-1e,False,G,24,P,0172,01,True
58.0,0.0,985.0,0.0,5.0,0.0,Earth,False,TRAPPIST-1e,False,E,11,S,0173,01,True
21.0,287.0,0.0,16.0,115.0,175.0,Earth,False,55 Cancri e,False,F,38,P,0174,01,False
38.0,0.0,5840.0,1.0,3926.0,2111.0,Europa,False,TRAPPIST-1e,False,B,2,S,0177,01,False
38.0,2803.0,0.0,161.0,28.0,119.0,Mars,False,TRAPPIST-1e,False,D,6,S,0178,01,False
19.0,1.0,219.0,673.0,2.0,11.0,Earth,False,TRAPPIST-1e,False,G,26,P,0179,01,True
0.0,0.0,0.0,0.0,0.0,0.0,Earth,False,TRAPPIST-1e,False,G,26,P,0179,02,False
3.0,0.0,0.0,0.0,0.0,0.0,Earth,False,TRAPPIST-1e,False,G,26,P,0179,03,True
20.0,0.0,0.0,3.0,299.0,92.0,Earth,False,TRAPPIST-1e,False,G,27,P,0181,01,False
24.0,0.0,0.0,0.0,0.0,0.0,Europa,True,TRAPPIST-1e,False,C,3,P,0182,01,True
37.0,17.0,146.0,426.0,0.0,232.0,Earth,False,TRAPPIST-1e,False,F,36,S,0183,01,True
25.0,62.0,0.0,0.0,0.0,956.0,Earth,False,TRAPPIST-1e,False,G,28,P,0186,01,False
56.0,0.0,0.0,0.0,0.0,0.0,Earth,True,TRAPPIST-1e,False,G,31,S,0188,01,True
49.0,84.0,3.0,401.0,202.0,98.0,Earth,False,55 Cancri e,False,E,8,P,0189,01,False
11.0,0.0,0.0,0.0,0.0,0.0,Earth,True,55 Cancri e,False,G,32,S,0190,01,False
1.0,0.0,0.0,0.0,0.0,0.0,Earth,True,TRAPPIST-1e,False,G,29,P,0192,01,True
8.0,0.0,0.0,0.0,0.0,0.0,Earth,False,TRAPPIST-1e,False,G,29,P,0192,02,False
39.0,0.0,0.0,10.0,898.0,0.0,Earth,False,TRAPPIST-1e,False,G,29,P,0192,03,False
2.0,0.0,0.0,0.0,0.0,0.0,Mars,True,TRAPPIST-1e,False,F,41,P,0193,01,True
23.0,240.0,0.0,8.0,1072.0,0.0,Mars,False,TRAPPIST-1e,False,F,41,P,0193,02,False
0.0,0.0,0.0,0.0,0.0,0.0,Mars,False,TRAPPIST-1e,False,F,41,P,0193,03,True
39.0,406.0,0.0,867.0,0.0,0.0,Mars,False,TRAPPIST-1e,False,F,42,P,0195,01,True
25.0,1052.0,0.0,719.0,0.0,7.0,Mars,False,PSO J318.5-22,False,D,5,P,0196,01,False
36.0,0.0,972.0,0.0,795.0,575.0,Europa,False,TRAPPIST-1e,False,C,5,P,0197,01,False
52.0,0.0,0.0,0.0,0.0,0.0,Earth,False,PSO J318.5-22,False,G,30,P,0198,01,True
18.0,0.0,0.0,0.0,0.0,0.0,Earth,True,TRAPPIST-1e,False,G,33,S,0199,01,False
15.0,0.0,0.0,0.0,0.0,0.0,Earth,True,TRAPPIST-1e,False,G,31,P,0200,01,True
35.0,0.0,0.0,0.0,0.0,0.0,Europa,True,TRAPPIST-1e,False,B,3,S,0201,01,True
47.0,0.0,0.0,0.0,0.0,0.0,Europa,True,TRAPPIST-1e,False,B,3,S,0201,02,True
45.0,0.0,0.0,0.0,0.0,0.0,Europa,True,55 Cancri e,False,B,9,P,0202,01,True
37.0,0.0,2433.0,31.666666666666668,878.0,443.0,Europa,False,55 Cancri e,False,A,2,P,0202,02,True
51.0,0.0,0.0,0.0,0.0,0.0,Europa,True,TRAPPIST-1e,False,C,8,S,0203,01,True
29.0,0.0,2.0,66.0,0.0,705.0,Earth,False,TRAPPIST-1e,False,G,34,S,0205,01,False
31.666666666666668,2.0,1720.0,12.0,1125.0,122.0,Europa,False,55 Cancri e,False,C,9,S,0206,01,True
19.0,0.0,0.0,0.0,0.0,0.0,Earth,True,PSO J318.5-22,False,G,32,P,0207,01,False
24.0,0.0,0.0,0.0,0.0,0.0,Earth,True,55 Cancri e,False,D,6,P,0210,01,True
29.0,902.0,1.0,137.0,0.0,0.0,Mars,False,TRAPPIST-1e,False,F,44,P,0211,01,True
11.0,0.0,0.0,0.0,0.0,0.0,Mars,True,TRAPPIST-1e,False,F,44,P,0211,02,True
17.0,848.0,0.0,307.0,182.0,0.0,Mars,False,TRAPPIST-1e,False,F,44,P,0211,03,False
13.0,192.0,0.0,0.0,51.0,739.0,Earth,False,TRAPPIST-1e,False,E,9,P,0212,01,False
35.0,147.0,188.0,0.0,10.0,387.0,Earth,False,TRAPPIST-1e,False,F,45,P,0212,02,False
21.0,367.0,281.0,0.0,0.0,146.0,Earth,False,TRAPPIST-1e,False,F,46,P,0213,01,False
21.0,0.0,56.0,0.0,0.0,1918.0,Earth,False,55 Cancri e,False,F,40,S,0216,01,False
38.0,1517.0,0.0,0.0,27.0,0.0,Earth,False,TRAPPIST-1e,False,F,47,P,0217,01,False
19.0,0.0,0.0,0.0,0.0,0.0,Earth,True,TRAPPIST-1e,False,G,36,P,0219,01,True
2.0,0.0,0.0,0.0,0.0,0.0,Earth,True,TRAPPIST-1e,False,G,37,P,0220,01,True
0.0,0.0,0.0,0.0,0.0,0.0,Earth,False,TRAPPIST-1e,False,G,37,P,0220,02,True
13.0,0.0,0.0,0.0,0.0,0.0,Earth,True,TRAPPIST-1e,False,G,37,P,0220,03,False
25.0,122.0,84.0,644.3333333333334,0.0,0.0,Earth,False,TRAPPIST-1e,False,E,10,P,0220,04,False
16.0,0.0,3.0,0.0,0.0,1099.0,Earth,False,TRAPPIST-1e,False,F,48,P,0220,05,False
1.0,0.0,0.0,0.0,0.0,0.0,Earth,False,55 Cancri e,False,G,37,P,0220,06,False
15.0,0.0,0.0,0.0,0.0,0.0,Earth,True,TRAPPIST-1e,False,G,37,P,0220,07,True
21.0,2237.0,0.0,119.0,0.0,0.0,Mars,False,55 Cancri e,False,E,13,S,0221,01,False
23.0,1215.0,80.0,1.0,2.0,0.0,Mars,False,TRAPPIST-1e,False,E,13,S,0221,02,False
33.0,1933.0,12.0,188.0,1.0,0.0,Mars,False,TRAPPIST-1e,False,E,13,S,0221,03,False
21.0,0.0,0.0,0.0,0.0,0.0,Mars,True,TRAPPIST-1e,False,E,13,S,0221,04,True
41.0,1230.0,0.0,301.0,43.0,1023.0,Mars,False,TRAPPIST-1e,False,E,13,S,0221,05,False
16.0,915.0,0.0,221.0,234.0,0.0,Mars,False,TRAPPIST-1e,False,E,13,S,0221,06,False
42.0,0.0,0.0,0.0,0.0,0.0,Mars,True,TRAPPIST-1e,False,E,13,S,0221,07,False
20.0,1406.0,0.0,0.0,11.0,0.0,Mars,False,TRAPPIST-1e,False,F,41,S,0222,01,False
24.0,0.0,0.0,0.0,0.0,0.0,Mars,True,TRAPPIST-1e,False,F,41,S,0222,02,True
16.0,0.0,0.0,0.0,0.0,0.0,Mars,True,TRAPPIST-1e,False,E,14,S,0222,03,True
21.0,0.0,2.0,665.0,0.0,9.0,Earth,False,TRAPPIST-1e,False,G,35,S,0223,01,False
32.0,181.0,0.0,5.0,1634.0,0.0,Mars,False,TRAPPIST-1e,True,F,42,S,0224,01,False
58.0,0.0,0.0,0.0,0.0,0.0,Earth,True,PSO J318.5-22,False,G,38,P,0225,01,True
24.0,4.0,7.0,0.0,713.0,79.0,Earth,False,TRAPPIST-1e,False,F,43,S,0229,01,False
30.0,85.0,0.0,1.0,1720.0,0.0,Mars,False,TRAPPIST-1e,False,F,44,S,0231,01,False
27.0,0.0,0.0,0.0,0.0,0.0,Earth,True,PSO J318.5-22,False,G,36,S,0232,01,False
32.0,56.0,0.0,256.0,1438.0,0.0,Mars,False,TRAPPIST-1e,False,F,45,S,0233,01,False
43.0,0.0,888.0,0.0,0.0,0.0,Earth,False,TRAPPIST-1e,False,F,50,P,0234,01,False
42.0,0.0,0.0,0.0,0.0,0.0,Europa,True,TRAPPIST-1e,False,B,11,P,0237,01,True
37.0,637.0,0.0,0.0,92.0,319.0,Mars,False,TRAPPIST-1e,False,00,00,00,0239,01,False
35.0,0.0,0.0,0.0,0.0,0.0,Mars,True,TRAPPIST-1e,False,F,52,P,0240,01,True
33.0,0.0,1249.0,0.0,3926.0,1116.0,Europa,False,55 Cancri e,False,E,11,P,0241,01,False
18.0,313.0,1.0,691.0,283.0,0.0,Earth,False,TRAPPIST-1e,False,F,46,S,0242,01,False
21.0,0.0,0.0,0.0,0.0,0.0,Earth,True,TRAPPIST-1e,False,G,37,S,0243,01,False
43.0,0.0,0.0,0.0,0.0,0.0,Mars,True,TRAPPIST-1e,False,00,00,00,0244,01,True
14.0,0.0,0.0,0.0,0.0,0.0,Mars,True,55 Cancri e,False,F,47,S,0244,02,True
46.0,0.0,3571.0,0.0,0.0,7.0,Europa,False,55 Cancri e,False,C,6,P,0245,01,True
33.0,0.0,86.0,796.0,584.0,3854.0,Europa,False,TRAPPIST-1e,False,C,6,P,0245,02,False
21.0,2803.0,0.0,287.0,27.0,0.0,Mars,False,TRAPPIST-1e,False,D,8,P,0246,01,False
33.0,0.0,1.0,0.0,3926.0,1063.0,Europa,False,TRAPPIST-1e,False,C,10,S,0248,01,False
47.0,0.0,0.0,0.0,0.0,0.0,Earth,True,PSO J318.5-22,False,G,38,S,0250,01,False
54.0,0.0,0.0,0.0,0.0,0.0,Earth,True,55 Cancri e,False,C,11,S,0251,01,True
30.0,335.0,695.0,541.0,0.0,0.0,Earth,False,TRAPPIST-1e,False,F,53,P,0252,01,False
29.0,272.0,615.0,0.0,0.0,1.0,Earth,False,TRAPPIST-1e,False,G,42,P,0253,01,False
21.0,702.0,172.0,408.0,2.0,6.0,Earth,False,TRAPPIST-1e,False,F,54,P,0254,01,True
24.0,0.0,0.0,0.0,0.0,0.0,Europa,True,TRAPPIST-1e,False,A,3,S,0255,01,True
21.0,1664.0,0.0,0.0,0.0,0.0,Mars,False,55 Cancri e,False,F,49,S,0257,01,False
60.0,0.0,0.0,0.0,0.0,0.0,Mars,True,TRAPPIST-1e,False,F,49,S,0257,02,True
22.0,0.0,0.0,313.0,299.0,92.0,Earth,False,TRAPPIST-1e,False,F,50,S,0258,01,False
26.0,0.0,4810.0,0.0,981.0,2054.0,Europa,False,TRAPPIST-1e,False,E,16,S,0260,01,False
26.0,66.0,29.0,0.0,0.0,803.0,Earth,False,TRAPPIST-1e,False,F,56,P,0261,01,False
28.0,0.0,0.0,0.0,0.0,0.0,Earth,True,TRAPPIST-1e,False,G,43,P,0263,01,True
39.0,0.0,0.0,0.0,0.0,0.0,Europa,True,TRAPPIST-1e,False,D,8,S,0265,01,True
